MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 89 3403.6625661375656 Group(0,29)-SUSTAIN 0 0 1
MARKER 90 14.404761904761902 Group(1,0)-ATTACK 0 21274726 1
MARKER 91 25.928571428571423 Group(1,0)-SUSTAIN 0 21274726 1
MARKER 92 40.094260728982945 Group(1,0)-RELEASE 0 21274726 1
MARKER 93 40.094260728982945 Group(1,1)-ATTACK 0 21274726 1
MARKER 94 55.77944591416813 Group(1,1)-SUSTAIN 0 21274726 1
MARKER 95 60.050279247501464 Group(1,1)-RELEASE 0 21274726 1
MARKER 96 60.050279247501464 Group(1,2)-ATTACK 0 21274726 1
MARKER 97 71.25398295120516 Group(1,2)-SUSTAIN 0 21274726 1
MARKER 98 99.14174750146971 Group(1,2)-RELEASE 0 21274726 1
MARKER 99 99.14174750146972 Group(1,3)-ATTACK 0 21274726 1
MARKER 100 108.3084141681364 Group(1,3)-SUSTAIN 0 21274726 1
MARKER 101 125.73625073486185 Group(1,3)-RELEASE 0 21274726 1
MARKER 102 125.73625073486185 Group(1,4)-ATTACK 0 21274726 1
MARKER 103 126.75476925338037 Group(1,4)-SUSTAIN 0 21274726 1
MARKER 104 145.81133891828338 Group(1,4)-RELEASE 0 21274726 1
MARKER 105 145.81133891828338 Group(1,5)-ATTACK 0 21274726 1
MARKER 106 157.91133891828338 Group(1,5)-SUSTAIN 0 21274726 1
MARKER 107 171.18334068195182 Group(1,5)-RELEASE 0 21274726 1
MARKER 108 171.18334068195182 Group(1,6)-ATTACK 0 21274726 1
MARKER 109 180.59445179306294 Group(1,6)-SUSTAIN 0 21274726 1
MARKER 110 192.69879482657265 Group(1,6)-RELEASE 0 21274726 1
MARKER 111 192.69879482657262 Group(1,7)-ATTACK 0 21274726 1
MARKER 112 195.2654614932393 Group(1,7)-SUSTAIN 0 21274726 1
MARKER 113 217.32356701940037 Group(1,7)-RELEASE 0 21274726 1
MARKER 114 217.32356701940037 Group(1,8)-ATTACK 0 21274726 1
MARKER 115 231.58282627865964 Group(1,8)-SUSTAIN 0 21274726 1
MARKER 116 248.88822016460907 Group(1,8)-RELEASE 0 21274726 1
MARKER 117 248.88822016460907 Group(1,9)-ATTACK 0 21274726 1
MARKER 118 253.6025058788948 Group(1,9)-SUSTAIN 0 21274726 1
MARKER 119 270.3874706055262 Group(1,9)-RELEASE 0 21274726 1
MARKER 120 270.3874706055262 Group(1,10)-ATTACK 0 21274726 1
MARKER 121 278.244613462669 Group(1,10)-SUSTAIN 0 21274726 1
MARKER 122 300.77816725455614 Group(1,10)-RELEASE 0 21274726 1
MARKER 123 300.7781672545562 Group(1,11)-ATTACK 0 21274726 1
MARKER 124 310.3813418577308 Group(1,11)-SUSTAIN 0 21274726 1
MARKER 125 317.84029247501473 Group(1,11)-RELEASE 0 21274726 1
MARKER 126 317.84029247501473 Group(1,12)-ATTACK 0 21274726 1
MARKER 127 324.84029247501473 Group(1,12)-SUSTAIN 0 21274726 1
MARKER 128 327.8592078189301 Group(1,12)-RELEASE 0 21274726 1
MARKER 129 327.8592078189301 Group(1,13)-ATTACK 0 21274726 1
MARKER 130 332.34068930041155 Group(1,13)-SUSTAIN 0 21274726 1
MARKER 131 349.5965681951793 Group(1,13)-RELEASE 0 21274726 1
MARKER 132 349.5965681951794 Group(1,14)-ATTACK 0 21274726 1
MARKER 133 352.4484200470312 Group(1,14)-SUSTAIN 0 21274726 1
MARKER 134 388.242070840682 Group(1,14)-RELEASE 0 21274726 1
MARKER 135 388.242070840682 Group(1,15)-ATTACK 0 21274726 1
MARKER 136 392.99515726043506 Group(1,15)-SUSTAIN 0 21274726 1
MARKER 137 427.0001543209877 Group(1,15)-RELEASE 0 21274726 1
MARKER 138 427.0001543209877 Group(1,16)-ATTACK 0 21274726 1
MARKER 139 475.40015432098767 Group(1,16)-SUSTAIN 0 21274726 1
MARKER 140 485.65015432098767 Group(1,16)-RELEASE 0 21274726 1
MARKER 141 485.65015432098767 Group(1,17)-ATTACK 0 21274726 1
MARKER 142 495.65015432098767 Group(1,17)-SUSTAIN 0 21274726 1
MARKER 143 501.3445987654321 Group(1,17)-RELEASE 0 21274726 1
MARKER 144 501.3445987654321 Group(1,18)-ATTACK 0 21274726 1
MARKER 145 507.3445987654321 Group(1,18)-SUSTAIN 0 21274726 1
MARKER 146 580.8091490299823 Group(1,18)-RELEASE 0 21274726 1
MARKER 147 580.8091490299823 Group(1,19)-ATTACK 0 21274726 1
MARKER 148 585.475815696649 Group(1,19)-SUSTAIN 0 21274726 1
MARKER 149 592.7972442680775 Group(1,19)-RELEASE 0 21274726 1
MARKER 150 592.7972442680775 Group(1,20)-ATTACK 0 21274726 1
MARKER 151 604.321053791887 Group(1,20)-SUSTAIN 0 21274726 1
MARKER 152 618.4867430922985 Group(1,20)-RELEASE 0 21274726 1
MARKER 153 618.4867430922985 Group(1,21)-ATTACK 0 21274726 1
MARKER 154 634.1719282774837 Group(1,21)-SUSTAIN 0 21274726 1
MARKER 155 638.4427616108171 Group(1,21)-RELEASE 0 21274726 1
MARKER 156 638.442761610817 Group(1,22)-ATTACK 0 21274726 1
MARKER 157 649.6464653145207 Group(1,22)-SUSTAIN 0 21274726 1
MARKER 158 677.5342298647853 Group(1,22)-RELEASE 0 21274726 1
MARKER 159 677.5342298647853 Group(1,23)-ATTACK 0 21274726 1
MARKER 160 686.7008965314519 Group(1,23)-SUSTAIN 0 21274726 1
MARKER 161 704.1287330981773 Group(1,23)-RELEASE 0 21274726 1
MARKER 162 704.1287330981775 Group(1,24)-ATTACK 0 21274726 1
MARKER 163 705.1472516166959 Group(1,24)-SUSTAIN 0 21274726 1
MARKER 164 724.203821281599 Group(1,24)-RELEASE 0 21274726 1
MARKER 165 724.203821281599 Group(1,25)-ATTACK 0 21274726 1
MARKER 166 736.303821281599 Group(1,25)-SUSTAIN 0 21274726 1
MARKER 167 749.5758230452674 Group(1,25)-RELEASE 0 21274726 1
MARKER 168 749.5758230452674 Group(1,26)-ATTACK 0 21274726 1
MARKER 169 758.9869341563785 Group(1,26)-SUSTAIN 0 21274726 1
MARKER 170 771.0912771898883 Group(1,26)-RELEASE 0 21274726 1
MARKER 171 771.0912771898882 Group(1,27)-ATTACK 0 21274726 1
MARKER 172 773.6579438565549 Group(1,27)-SUSTAIN 0 21274726 1
MARKER 173 795.7160493827159 Group(1,27)-RELEASE 0 21274726 1
MARKER 174 795.7160493827159 Group(1,28)-ATTACK 0 21274726 1
MARKER 175 809.9753086419752 Group(1,28)-SUSTAIN 0 21274726 1
MARKER 176 827.2807025279246 Group(1,28)-RELEASE 0 21274726 1
MARKER 177 827.2807025279246 Group(1,29)-ATTACK 0 21274726 1
MARKER 178 831.9949882422103 Group(1,29)-SUSTAIN 0 21274726 1
MARKER 179 848.7799529688417 Group(1,29)-RELEASE 0 21274726 1
MARKER 180 848.7799529688417 Group(1,30)-ATTACK 0 21274726 1
