MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 369 2641.4291372721937 Group(1,93)-ATTACK 0 21274726 1
MARKER 370 2645.910618753675 Group(1,93)-SUSTAIN 0 21274726 1
MARKER 371 2663.1664976484426 Group(1,93)-RELEASE 0 21274726 1
MARKER 372 2663.166497648443 Group(1,94)-ATTACK 0 21274726 1
MARKER 373 2666.018349500295 Group(1,94)-SUSTAIN 0 21274726 1
MARKER 374 2701.8120002939454 Group(1,94)-RELEASE 0 21274726 1
MARKER 375 2701.812000293946 Group(1,95)-ATTACK 0 21274726 1
MARKER 376 2706.5650867136987 Group(1,95)-SUSTAIN 0 21274726 1
MARKER 377 2740.5700837742515 Group(1,95)-RELEASE 0 21274726 1
MARKER 378 2740.5700837742515 Group(1,96)-ATTACK 0 21274726 1
MARKER 379 2788.9700837742516 Group(1,96)-SUSTAIN 0 21274726 1
MARKER 380 2799.2200837742516 Group(1,96)-RELEASE 0 21274726 1
MARKER 381 2799.2200837742516 Group(1,97)-ATTACK 0 21274726 1
MARKER 382 2809.2200837742516 Group(1,97)-SUSTAIN 0 21274726 1
MARKER 383 2814.914528218696 Group(1,97)-RELEASE 0 21274726 1
MARKER 384 2814.914528218696 Group(1,98)-ATTACK 0 21274726 1
MARKER 385 2820.914528218696 Group(1,98)-SUSTAIN 0 21274726 1
MARKER 386 2894.3790784832463 Group(1,98)-RELEASE 0 21274726 1
MARKER 387 2894.3790784832463 Group(1,99)-ATTACK 0 21274726 1
MARKER 388 2899.045745149913 Group(1,99)-SUSTAIN 0 21274726 1
MARKER 389 2906.3671737213413 Group(1,99)-RELEASE 0 21274726 1
MARKER 390 2906.3671737213417 Group(1,100)-ATTACK 0 21274726 1
MARKER 391 2917.8909832451513 Group(1,100)-SUSTAIN 0 21274726 1
MARKER 392 2932.056672545563 Group(1,100)-RELEASE 0 21274726 1
MARKER 393 2932.056672545563 Group(1,101)-ATTACK 0 21274726 1
MARKER 394 2947.741857730748 Group(1,101)-SUSTAIN 0 21274726 1
MARKER 395 2952.0126910640815 Group(1,101)-RELEASE 0 21274726 1
MARKER 396 2952.0126910640815 Group(1,102)-ATTACK 0 21274726 1
MARKER 397 2963.2163947677855 Group(1,102)-SUSTAIN 0 21274726 1
MARKER 398 2991.10415931805 Group(1,102)-RELEASE 0 21274726 1
MARKER 399 2991.10415931805 Group(1,103)-ATTACK 0 21274726 1
MARKER 400 3000.2708259847163 Group(1,103)-SUSTAIN 0 21274726 1
MARKER 401 3017.698662551442 Group(1,103)-RELEASE 0 21274726 1
MARKER 402 3017.698662551442 Group(1,104)-ATTACK 0 21274726 1
MARKER 403 3018.7171810699606 Group(1,104)-SUSTAIN 0 21274726 1
MARKER 404 3037.7737507348634 Group(1,104)-RELEASE 0 21274726 1
MARKER 405 3037.7737507348634 Group(1,105)-ATTACK 0 21274726 1
MARKER 406 3049.8737507348633 Group(1,105)-SUSTAIN 0 21274726 1
MARKER 407 3063.1457524985317 Group(1,105)-RELEASE 0 21274726 1
MARKER 408 3063.1457524985317 Group(1,106)-ATTACK 0 21274726 1
MARKER 409 3072.5568636096427 Group(1,106)-SUSTAIN 0 21274726 1
MARKER 410 3084.6612066431526 Group(1,106)-RELEASE 0 21274726 1
MARKER 411 3084.6612066431526 Group(1,107)-ATTACK 0 21274726 1
MARKER 412 3087.227873309819 Group(1,107)-SUSTAIN 0 21274726 1
MARKER 413 3109.28597883598 Group(1,107)-RELEASE 0 21274726 1
MARKER 414 3109.28597883598 Group(1,108)-ATTACK 0 21274726 1
MARKER 415 3123.5452380952393 Group(1,108)-SUSTAIN 0 21274726 1
MARKER 416 3140.8506319811886 Group(1,108)-RELEASE 0 21274726 1
MARKER 417 3140.850631981189 Group(1,109)-ATTACK 0 21274726 1
MARKER 418 3145.564917695475 Group(1,109)-SUSTAIN 0 21274726 1
MARKER 419 3162.349882422106 Group(1,109)-RELEASE 0 21274726 1
MARKER 420 3162.349882422106 Group(1,110)-ATTACK 0 21274726 1
MARKER 421 3170.2070252792487 Group(1,110)-SUSTAIN 0 21274726 1
MARKER 422 3192.740579071136 Group(1,110)-RELEASE 0 21274726 1
MARKER 423 3192.740579071136 Group(1,111)-ATTACK 0 21274726 1
MARKER 424 3202.3437536743104 Group(1,111)-SUSTAIN 0 21274726 1
MARKER 425 3209.802704291594 Group(1,111)-RELEASE 0 21274726 1
MARKER 426 3209.8027042915946 Group(1,112)-ATTACK 0 21274726 1
MARKER 427 3216.8027042915946 Group(1,112)-SUSTAIN 0 21274726 1
MARKER 428 3219.82161963551 Group(1,112)-RELEASE 0 21274726 1
MARKER 429 3219.82161963551 Group(1,113)-ATTACK 0 21274726 1
MARKER 430 3224.3031011169915 Group(1,113)-SUSTAIN 0 21274726 1
MARKER 431 3241.558980011759 Group(1,113)-RELEASE 0 21274726 1
MARKER 432 3241.5589800117596 Group(1,114)-ATTACK 0 21274726 1
MARKER 433 3244.4108318636113 Group(1,114)-SUSTAIN 0 21274726 1
MARKER 434 3280.204482657262 Group(1,114)-RELEASE 0 21274726 1
MARKER 435 3280.2044826572624 Group(1,115)-ATTACK 0 21274726 1
MARKER 436 3284.9575690770153 Group(1,115)-SUSTAIN 0 21274726 1
MARKER 437 3318.962566137568 Group(1,115)-RELEASE 0 21274726 1
MARKER 438 3318.962566137568 Group(1,116)-ATTACK 0 21274726 1
MARKER 439 3367.362566137568 Group(1,116)-SUSTAIN 0 21274726 1
MARKER 440 3377.612566137568 Group(1,116)-RELEASE 0 21274726 1
MARKER 441 3377.612566137568 Group(1,117)-ATTACK 0 21274726 1
MARKER 442 3387.612566137568 Group(1,117)-SUSTAIN 0 21274726 1
MARKER 443 3393.3070105820125 Group(1,117)-RELEASE 0 21274726 1
MARKER 444 2.4166666666692436 Group(1,118)-RELEASE 0 21274726 1
MARKER 445 3393.3070105820125 Group(1,118)-ATTACK 0 21274726 1
MARKER 446 3399.3070105820125 Group(1,118)-SUSTAIN 0 21274726 1
MARKER 447 2.4166666666692436 Group(1,119)-ATTACK 0 21274726 1
MARKER 448 7.08333333333591 Group(1,119)-SUSTAIN 0 21274726 1
MARKER 449 14.40476190476448 Group(1,119)-RELEASE 0 21274726 1
MARKER 450 17.86190476190476 Group(2,0)-ATTACK 0 29274726 1
MARKER 451 22.471428571428568 Group(2,0)-SUSTAIN 0 29274726 1
MARKER 452 23.813690476190473 Group(2,0)-RELEASE 0 29274726 1
MARKER 453 23.813690476190473 Group(2,1)-ATTACK 0 29274726 1
MARKER 454 30.215806878306875 Group(2,1)-SUSTAIN 0 29274726 1
MARKER 455 31.43604497354497 Group(2,1)-RELEASE 0 29274726 1
MARKER 456 31.43604497354497 Group(2,2)-ATTACK 0 29274726 1
MARKER 457 42.9598544973545 Group(2,2)-SUSTAIN 0 29274726 1
MARKER 458 44.45125661375661 Group(2,2)-RELEASE 0 29274726 1
MARKER 459 44.45125661375661 Group(2,3)-ATTACK 0 29274726 1
MARKER 460 51.422450029394476 Group(2,3)-SUSTAIN 0 29274726 1
MARKER 461 52.37152410346855 Group(2,3)-RELEASE 0 29274726 1
MARKER 462 52.371524103468545 Group(2,4)-ATTACK 0 29274726 1
MARKER 463 55.70485743680188 Group(2,4)-SUSTAIN 0 29274726 1
MARKER 464 57.413190770135216 Group(2,4)-RELEASE 0 29274726 1
MARKER 465 57.41319077013521 Group(2,5)-ATTACK 0 29274726 1
MARKER 466 60.005783362727804 Group(2,5)-SUSTAIN 0 29274726 1
MARKER 467 62.451072898295116 Group(2,5)-RELEASE 0 29274726 1
MARKER 468 62.451072898295116 Group(2,6)-ATTACK 0 29274726 1
MARKER 469 68.85318930041151 Group(2,6)-SUSTAIN 0 29274726 1
MARKER 470 70.19545120517341 Group(2,6)-RELEASE 0 29274726 1
MARKER 471 70.19545120517341 Group(2,7)-ATTACK 0 29274726 1
MARKER 472 80.46211787184008 Group(2,7)-SUSTAIN 0 29274726 1
MARKER 473 82.55008083480304 Group(2,7)-RELEASE 0 29274726 1
MARKER 474 82.55008083480305 Group(2,8)-ATTACK 0 29274726 1
MARKER 475 98.68341416813638 Group(2,8)-SUSTAIN 0 29274726 1
MARKER 476 100.39174750146971 Group(2,8)-RELEASE 0 29274726 1
MARKER 477 100.39174750146972 Group(2,9)-ATTACK 0 29274726 1
MARKER 478 107.0584141681364 Group(2,9)-SUSTAIN 0 29274726 1
MARKER 479 108.95656231628455 Group(2,9)-RELEASE 0 29274726 1
MARKER 480 108.95656231628453 Group(2,10)-ATTACK 0 29274726 1
MARKER 481 118.91541005291005 Group(2,10)-SUSTAIN 0 29274726 1
MARKER 482 121.00337301587301 Group(2,10)-RELEASE 0 29274726 1
MARKER 483 121.003373015873 Group(2,11)-ATTACK 0 29274726 1
MARKER 484 124.17209729570838 Group(2,11)-SUSTAIN 0 29274726 1
MARKER 485 125.6634994121105 Group(2,11)-RELEASE 0 29274726 1
MARKER 486 125.6634994121105 Group(2,12)-ATTACK 0 29274726 1
MARKER 487 126.82752057613166 Group(2,12)-SUSTAIN 0 29274726 1
MARKER 488 128.6172031158142 Group(2,12)-RELEASE 0 29274726 1
MARKER 489 128.61720311581422 Group(2,13)-ATTACK 0 29274726 1
MARKER 490 136.98263521457966 Group(2,13)-SUSTAIN 0 29274726 1
MARKER 491 138.12152410346854 Group(2,13)-RELEASE 0 29274726 1
MARKER 492 138.12152410346854 Group(2,14)-ATTACK 0 29274726 1
MARKER 493 141.70670928865374 Group(2,14)-SUSTAIN 0 29274726 1
MARKER 494 143.7946722516167 Group(2,14)-RELEASE 0 29274726 1
MARKER 495 143.79467225161667 Group(2,15)-ATTACK 0 29274726 1
MARKER 496 159.92800558495 Group(2,15)-SUSTAIN 0 29274726 1
MARKER 497 161.63633891828334 Group(2,15)-RELEASE 0 29274726 1
MARKER 498 161.63633891828334 Group(2,16)-ATTACK 0 29274726 1
MARKER 499 163.50300558495002 Group(2,16)-SUSTAIN 0 29274726 1
MARKER 500 164.96729129923574 Group(2,16)-RELEASE 0 29274726 1
MARKER 501 164.9672912992357 Group(2,17)-ATTACK 0 29274726 1
MARKER 502 170.5672912992357 Group(2,17)-SUSTAIN 0 29274726 1
MARKER 503 171.7061801881246 Group(2,17)-RELEASE 0 29274726 1
MARKER 504 171.7061801881246 Group(2,18)-ATTACK 0 29274726 1
MARKER 505 180.07161228689003 Group(2,18)-SUSTAIN 0 29274726 1
MARKER 506 181.86129482657256 Group(2,18)-RELEASE 0 29274726 1
MARKER 507 181.86129482657256 Group(2,19)-ATTACK 0 29274726 1
MARKER 508 185.63272339800113 Group(2,19)-SUSTAIN 0 29274726 1
MARKER 509 186.97498530276303 Group(2,19)-RELEASE 0 29274726 1
MARKER 510 186.97498530276303 Group(2,20)-ATTACK 0 29274726 1
MARKER 511 191.58450911228684 Group(2,20)-SUSTAIN 0 29274726 1
MARKER 512 193.04879482657256 Group(2,20)-RELEASE 0 29274726 1
MARKER 513 193.04879482657256 Group(2,21)-ATTACK 0 29274726 1
MARKER 514 194.91546149323923 Group(2,21)-SUSTAIN 0 29274726 1
MARKER 515 196.62379482657258 Group(2,21)-RELEASE 0 29274726 1
MARKER 516 196.62379482657255 Group(2,22)-ATTACK 0 29274726 1
MARKER 517 209.1719429747207 Group(2,22)-SUSTAIN 0 29274726 1
MARKER 518 210.5142048794826 Group(2,22)-RELEASE 0 29274726 1
MARKER 519 210.5142048794826 Group(2,23)-ATTACK 0 29274726 1
MARKER 520 220.78087154614929 Group(2,23)-SUSTAIN 0 29274726 1
MARKER 521 222.86883450911225 Group(2,23)-RELEASE 0 29274726 1
MARKER 522 222.86883450911225 Group(2,24)-ATTACK 0 29274726 1
MARKER 523 226.03755878894765 Group(2,24)-SUSTAIN 0 29274726 1
MARKER 524 227.52896090534978 Group(2,24)-RELEASE 0 29274726 1
MARKER 525 227.52896090534975 Group(2,25)-ATTACK 0 29274726 1
MARKER 526 239.05277042915927 Group(2,25)-SUSTAIN 0 29274726 1
MARKER 527 240.27300852439737 Group(2,25)-RELEASE 0 29274726 1
MARKER 528 240.27300852439737 Group(2,26)-ATTACK 0 29274726 1
MARKER 529 246.67512492651377 Group(2,26)-SUSTAIN 0 29274726 1
MARKER 530 249.35964873603757 Group(2,26)-RELEASE 0 29274726 1
MARKER 531 249.35964873603757 Group(2,27)-ATTACK 0 29274726 1
MARKER 532 253.13107730746614 Group(2,27)-SUSTAIN 0 29274726 1
MARKER 533 254.92075984714867 Group(2,27)-RELEASE 0 29274726 1
MARKER 534 254.92075984714867 Group(2,28)-ATTACK 0 29274726 1
MARKER 535 263.4569150499705 Group(2,28)-SUSTAIN 0 29274726 1
MARKER 536 265.0838991769547 Group(2,28)-RELEASE 0 29274726 1
MARKER 537 265.0838991769547 Group(2,29)-ATTACK 0 29274726 1
MARKER 538 270.2055922986478 Group(2,29)-SUSTAIN 0 29274726 1
MARKER 539 271.6969944150499 Group(2,29)-RELEASE 0 29274726 1
MARKER 540 271.6969944150499 Group(2,30)-ATTACK 0 29274726 1
MARKER 541 276.93508965314516 Group(2,30)-SUSTAIN 0 29274726 1
MARKER 542 279.61961346266895 Group(2,30)-RELEASE 0 29274726 1
MARKER 543 279.619613462669 Group(2,31)-ATTACK 0 29274726 1
MARKER 544 284.2291372721928 Group(2,31)-SUSTAIN 0 29274726 1
MARKER 545 285.69342298647854 Group(2,31)-RELEASE 0 29274726 1
MARKER 546 285.69342298647854 Group(2,32)-ATTACK 0 29274726 1
MARKER 547 299.52199441504996 Group(2,32)-SUSTAIN 0 29274726 1
MARKER 548 301.3116769547325 Group(2,32)-RELEASE 0 29274726 1
MARKER 549 301.3116769547325 Group(2,33)-ATTACK 0 29274726 1
MARKER 550 309.84783215755436 Group(2,33)-SUSTAIN 0 29274726 1
MARKER 551 311.4748162845385 Group(2,33)-RELEASE 0 29274726 1
MARKER 552 311.47481628453846 Group(2,34)-ATTACK 0 29274726 1
MARKER 553 314.9033877131099 Group(2,34)-SUSTAIN 0 29274726 1
MARKER 554 316.123625808348 Group(2,34)-RELEASE 0 29274726 1
MARKER 555 316.123625808348 Group(2,35)-ATTACK 0 29274726 1
MARKER 556 317.07600676072894 Group(2,35)-SUSTAIN 0 29274726 1
MARKER 557 318.54029247501467 Group(2,35)-RELEASE 0 29274726 1
MARKER 558 318.54029247501467 Group(2,36)-ATTACK 0 29274726 1
MARKER 559 324.1402924750147 Group(2,36)-SUSTAIN 0 29274726 1
MARKER 560 325.2791813639036 Group(2,36)-RELEASE 0 29274726 1
MARKER 561 325.27918136390355 Group(2,37)-ATTACK 0 29274726 1
MARKER 562 326.0199221046443 Group(2,37)-SUSTAIN 0 29274726 1
MARKER 563 326.9689961787184 Group(2,37)-RELEASE 0 29274726 1
MARKER 564 326.9689961787184 Group(2,38)-ATTACK 0 29274726 1
MARKER 565 328.0060332157554 Group(2,38)-SUSTAIN 0 29274726 1
MARKER 566 328.81952527924744 Group(2,38)-RELEASE 0 29274726 1
MARKER 567 328.8195252792475 Group(2,39)-ATTACK 0 29274726 1
MARKER 568 331.3803718400941 Group(2,39)-SUSTAIN 0 29274726 1
MARKER 569 332.8717739564962 Group(2,39)-RELEASE 0 29274726 1
MARKER 570 332.87177395649616 Group(2,40)-ATTACK 0 29274726 1
MARKER 571 336.04049823633153 Group(2,40)-SUSTAIN 0 29274726 1
MARKER 572 338.1284611992945 Group(2,40)-RELEASE 0 29274726 1
MARKER 573 338.1284611992945 Group(2,41)-ATTACK 0 29274726 1
MARKER 574 348.08730893592 Group(2,41)-SUSTAIN 0 29274726 1
MARKER 575 349.9854570840682 Group(2,41)-RELEASE 0 29274726 1
MARKER 576 349.9854570840682 Group(2,42)-ATTACK 0 29274726 1
MARKER 577 352.05953115814225 Group(2,42)-SUSTAIN 0 29274726 1
MARKER 578 353.6865152851264 Group(2,42)-RELEASE 0 29274726 1
MARKER 579 353.68651528512635 Group(2,43)-ATTACK 0 29274726 1
MARKER 580 362.2226704879482 Group(2,43)-SUSTAIN 0 29274726 1
MARKER 581 376.5401308054085 Group(2,43)-RELEASE 0 29274726 1
MARKER 582 376.5401308054085 Group(2,44)-ATTACK 0 29274726 1
MARKER 583 377.7041519694297 Group(2,44)-SUSTAIN 0 29274726 1
MARKER 584 389.03425191064076 Group(2,44)-RELEASE 0 29274726 1
MARKER 585 389.03425191064076 Group(2,45)-ATTACK 0 29274726 1
MARKER 586 392.20297619047614 Group(2,45)-SUSTAIN 0 29274726 1
MARKER 587 408.90667989417983 Group(2,45)-RELEASE 0 29274726 1
MARKER 588 408.90667989417983 Group(2,46)-ATTACK 0 29274726 1
MARKER 589 412.491865079365 Group(2,46)-SUSTAIN 0 29274726 1
MARKER 590 421.6029761904761 Group(2,46)-RELEASE 0 29274726 1
MARKER 591 421.6029761904761 Group(2,47)-ATTACK 0 29274726 1
MARKER 592 429.96840828924155 Group(2,47)-SUSTAIN 0 29274726 1
MARKER 593 444.28586860670185 Group(2,47)-RELEASE 0 29274726 1
MARKER 594 444.28586860670185 Group(2,48)-ATTACK 0 29274726 1
MARKER 595 458.1144400352733 Group(2,48)-SUSTAIN 0 29274726 1
MARKER 596 459.578725749559 Group(2,48)-RELEASE 0 29274726 1
MARKER 597 459.578725749559 Group(2,49)-ATTACK 0 29274726 1
MARKER 598 465.178725749559 Group(2,49)-SUSTAIN 0 29274726 1
MARKER 599 466.31761463844794 Group(2,49)-RELEASE 0 29274726 1
MARKER 600 466.3176146384479 Group(2,50)-ATTACK 0 29274726 1
MARKER 601 468.71761463844786 Group(2,50)-SUSTAIN 0 29274726 1
MARKER 602 487.3168209876542 Group(2,50)-RELEASE 0 29274726 1
MARKER 603 487.31682098765424 Group(2,51)-ATTACK 0 29274726 1
MARKER 604 493.9834876543209 Group(2,51)-SUSTAIN 0 29274726 1
MARKER 605 495.8816358024691 Group(2,51)-RELEASE 0 29274726 1
MARKER 606 495.8816358024691 Group(2,52)-ATTACK 0 29274726 1
MARKER 607 496.9186728395061 Group(2,52)-SUSTAIN 0 29274726 1
MARKER 608 497.73216490299814 Group(2,52)-RELEASE 0 29274726 1
MARKER 609 497.7321649029982 Group(2,53)-ATTACK 0 29274726 1
MARKER 610 499.4605599647266 Group(2,53)-SUSTAIN 0 29274726 1
MARKER 611 503.1445987654321 Group(2,53)-RELEASE 0 29274726 1
MARKER 612 503.1445987654321 Group(2,54)-ATTACK 0 29274726 1
MARKER 613 505.54459876543206 Group(2,54)-SUSTAIN 0 29274726 1
MARKER 614 532.8779320987654 Group(2,54)-RELEASE 0 29274726 1
MARKER 615 532.8779320987653 Group(2,55)-ATTACK 0 29274726 1
MARKER 616 538.0631172839505 Group(2,55)-SUSTAIN 0 29274726 1
MARKER 617 557.58692680776 Group(2,55)-RELEASE 0 29274726 1
MARKER 618 557.58692680776 Group(2,56)-ATTACK 0 29274726 1
MARKER 619 566.9202601410934 Group(2,56)-SUSTAIN 0 29274726 1
MARKER 620 582.1054453262786 Group(2,56)-RELEASE 0 29274726 1
MARKER 621 582.1054453262785 Group(2,57)-ATTACK 0 29274726 1
MARKER 622 584.1795194003525 Group(2,57)-SUSTAIN 0 29274726 1
MARKER 623 585.8065035273366 Group(2,57)-RELEASE 0 29274726 1
MARKER 624 585.8065035273368 Group(2,58)-ATTACK 0 29274726 1
MARKER 625 589.2350749559082 Group(2,58)-SUSTAIN 0 29274726 1
MARKER 626 591.6755511463844 Group(2,58)-RELEASE 0 29274726 1
MARKER 627 591.6755511463844 Group(2,59)-ATTACK 0 29274726 1
MARKER 628 592.6279320987653 Group(2,59)-SUSTAIN 0 29274726 1
MARKER 629 596.2543871252203 Group(2,59)-RELEASE 0 29274726 1
MARKER 630 596.2543871252203 Group(2,60)-ATTACK 0 29274726 1
MARKER 631 600.8639109347441 Group(2,60)-SUSTAIN 0 29274726 1
MARKER 632 602.206172839506 Group(2,60)-RELEASE 0 29274726 1
MARKER 633 602.206172839506 Group(2,61)-ATTACK 0 29274726 1
MARKER 634 608.6082892416224 Group(2,61)-SUSTAIN 0 29274726 1
MARKER 635 609.8285273368605 Group(2,61)-RELEASE 0 29274726 1
MARKER 636 609.8285273368606 Group(2,62)-ATTACK 0 29274726 1
MARKER 637 621.3523368606701 Group(2,62)-SUSTAIN 0 29274726 1
MARKER 638 622.8437389770722 Group(2,62)-RELEASE 0 29274726 1
MARKER 639 622.8437389770722 Group(2,63)-ATTACK 0 29274726 1
MARKER 640 629.8149323927101 Group(2,63)-SUSTAIN 0 29274726 1
MARKER 641 630.7640064667842 Group(2,63)-RELEASE 0 29274726 1
MARKER 642 630.7640064667842 Group(2,64)-ATTACK 0 29274726 1
MARKER 643 634.0973398001175 Group(2,64)-SUSTAIN 0 29274726 1
MARKER 644 635.8056731334509 Group(2,64)-RELEASE 0 29274726 1
MARKER 645 635.8056731334508 Group(2,65)-ATTACK 0 29274726 1
MARKER 646 638.3982657260434 Group(2,65)-SUSTAIN 0 29274726 1
MARKER 647 640.8435552616107 Group(2,65)-RELEASE 0 29274726 1
MARKER 648 640.8435552616107 Group(2,66)-ATTACK 0 29274726 1
MARKER 649 647.2456716637271 Group(2,66)-SUSTAIN 0 29274726 1
MARKER 650 648.587933568489 Group(2,66)-RELEASE 0 29274726 1
MARKER 651 648.587933568489 Group(2,67)-ATTACK 0 29274726 1
MARKER 652 658.8546002351557 Group(2,67)-SUSTAIN 0 29274726 1
MARKER 653 660.9425631981186 Group(2,67)-RELEASE 0 29274726 1
MARKER 654 660.9425631981186 Group(2,68)-ATTACK 0 29274726 1
MARKER 655 677.0758965314519 Group(2,68)-SUSTAIN 0 29274726 1
MARKER 656 678.7842298647853 Group(2,68)-RELEASE 0 29274726 1
MARKER 657 678.7842298647853 Group(2,69)-ATTACK 0 29274726 1
MARKER 658 685.4508965314519 Group(2,69)-SUSTAIN 0 29274726 1
MARKER 659 687.3490446796001 Group(2,69)-RELEASE 0 29274726 1
MARKER 660 687.3490446796001 Group(2,70)-ATTACK 0 29274726 1
MARKER 661 697.3078924162256 Group(2,70)-SUSTAIN 0 29274726 1
MARKER 662 699.3958553791886 Group(2,70)-RELEASE 0 29274726 1
MARKER 663 699.3958553791886 Group(2,71)-ATTACK 0 29274726 1
MARKER 664 702.5645796590239 Group(2,71)-SUSTAIN 0 29274726 1
MARKER 665 704.0559817754261 Group(2,71)-RELEASE 0 29274726 1
MARKER 666 704.0559817754261 Group(2,72)-ATTACK 0 29274726 1
MARKER 667 705.2200029394472 Group(2,72)-SUSTAIN 0 29274726 1
MARKER 668 707.0096854791298 Group(2,72)-RELEASE 0 29274726 1
MARKER 669 707.0096854791298 Group(2,73)-ATTACK 0 29274726 1
MARKER 670 715.3751175778951 Group(2,73)-SUSTAIN 0 29274726 1
MARKER 671 716.514006466784 Group(2,73)-RELEASE 0 29274726 1
MARKER 672 716.514006466784 Group(2,74)-ATTACK 0 29274726 1
MARKER 673 720.0991916519692 Group(2,74)-SUSTAIN 0 29274726 1
MARKER 674 722.1871546149322 Group(2,74)-RELEASE 0 29274726 1
MARKER 675 722.1871546149322 Group(2,75)-ATTACK 0 29274726 1
MARKER 676 738.3204879482655 Group(2,75)-SUSTAIN 0 29274726 1
MARKER 677 740.0288212815989 Group(2,75)-RELEASE 0 29274726 1
MARKER 678 740.0288212815989 Group(2,76)-ATTACK 0 29274726 1
MARKER 679 741.8954879482656 Group(2,76)-SUSTAIN 0 29274726 1
MARKER 680 743.3597736625512 Group(2,76)-RELEASE 0 29274726 1
MARKER 681 743.3597736625512 Group(2,77)-ATTACK 0 29274726 1
MARKER 682 748.9597736625512 Group(2,77)-SUSTAIN 0 29274726 1
MARKER 683 750.0986625514402 Group(2,77)-RELEASE 0 29274726 1
MARKER 684 750.0986625514402 Group(2,78)-ATTACK 0 29274726 1
MARKER 685 758.4640946502055 Group(2,78)-SUSTAIN 0 29274726 1
MARKER 686 760.2537771898881 Group(2,78)-RELEASE 0 29274726 1
MARKER 687 760.2537771898882 Group(2,79)-ATTACK 0 29274726 1
MARKER 688 764.0252057613168 Group(2,79)-SUSTAIN 0 29274726 1
MARKER 689 765.3674676660787 Group(2,79)-RELEASE 0 29274726 1
MARKER 690 765.3674676660787 Group(2,80)-ATTACK 0 29274726 1
MARKER 691 769.9769914756025 Group(2,80)-SUSTAIN 0 29274726 1
MARKER 692 771.4412771898882 Group(2,80)-RELEASE 0 29274726 1
MARKER 693 771.4412771898882 Group(2,81)-ATTACK 0 29274726 1
MARKER 694 773.3079438565549 Group(2,81)-SUSTAIN 0 29274726 1
MARKER 695 775.0162771898882 Group(2,81)-RELEASE 0 29274726 1
MARKER 696 775.0162771898882 Group(2,82)-ATTACK 0 29274726 1
MARKER 697 787.5644253380364 Group(2,82)-SUSTAIN 0 29274726 1
MARKER 698 788.9066872427983 Group(2,82)-RELEASE 0 29274726 1
MARKER 699 788.9066872427983 Group(2,83)-ATTACK 0 29274726 1
MARKER 700 799.1733539094649 Group(2,83)-SUSTAIN 0 29274726 1
MARKER 701 801.2613168724279 Group(2,83)-RELEASE 0 29274726 1
MARKER 702 801.2613168724279 Group(2,84)-ATTACK 0 29274726 1
MARKER 703 804.4300411522632 Group(2,84)-SUSTAIN 0 29274726 1
MARKER 704 805.9214432686654 Group(2,84)-RELEASE 0 29274726 1
MARKER 705 805.9214432686654 Group(2,85)-ATTACK 0 29274726 1
MARKER 706 817.4452527924749 Group(2,85)-SUSTAIN 0 29274726 1
MARKER 707 818.665490887713 Group(2,85)-RELEASE 0 29274726 1
MARKER 708 818.665490887713 Group(2,86)-ATTACK 0 29274726 1
MARKER 709 825.0676072898293 Group(2,86)-SUSTAIN 0 29274726 1
MARKER 710 827.7521310993532 Group(2,86)-RELEASE 0 29274726 1
MARKER 711 827.7521310993532 Group(2,87)-ATTACK 0 29274726 1
MARKER 712 831.5235596707818 Group(2,87)-SUSTAIN 0 29274726 1
MARKER 713 833.3132422104643 Group(2,87)-RELEASE 0 29274726 1
MARKER 714 833.3132422104643 Group(2,88)-ATTACK 0 29274726 1
MARKER 715 841.8493974132862 Group(2,88)-SUSTAIN 0 29274726 1
MARKER 716 843.4763815402703 Group(2,88)-RELEASE 0 29274726 1
MARKER 717 843.4763815402703 Group(2,89)-ATTACK 0 29274726 1
MARKER 718 848.5980746619634 Group(2,89)-SUSTAIN 0 29274726 1
MARKER 719 850.0894767783656 Group(2,89)-RELEASE 0 29274726 1
MARKER 720 850.0894767783655 Group(2,90)-ATTACK 0 29274726 1
MARKER 721 855.3275720164606 Group(2,90)-SUSTAIN 0 29274726 1
MARKER 722 858.0120958259845 Group(2,90)-RELEASE 0 29274726 1
MARKER 723 858.0120958259845 Group(2,91)-ATTACK 0 29274726 1
MARKER 724 862.6216196355083 Group(2,91)-SUSTAIN 0 29274726 1
MARKER 725 864.085905349794 Group(2,91)-RELEASE 0 29274726 1
MARKER 726 864.085905349794 Group(2,92)-ATTACK 0 29274726 1
MARKER 727 877.9144767783654 Group(2,92)-SUSTAIN 0 29274726 1
MARKER 728 879.7041593180479 Group(2,92)-RELEASE 0 29274726 1
MARKER 729 879.7041593180479 Group(2,93)-ATTACK 0 29274726 1
MARKER 730 888.2403145208698 Group(2,93)-SUSTAIN 0 29274726 1
MARKER 731 889.8672986478539 Group(2,93)-RELEASE 0 29274726 1
MARKER 732 889.8672986478539 Group(2,94)-ATTACK 0 29274726 1
MARKER 733 893.2958700764253 Group(2,94)-SUSTAIN 0 29274726 1
MARKER 734 894.5161081716634 Group(2,94)-RELEASE 0 29274726 1
MARKER 735 894.5161081716634 Group(2,95)-ATTACK 0 29274726 1
MARKER 736 895.4684891240444 Group(2,95)-SUSTAIN 0 29274726 1
MARKER 737 896.93277483833 Group(2,95)-RELEASE 0 29274726 1
MARKER 738 896.93277483833 Group(2,96)-ATTACK 0 29274726 1
